UMAP1,UMAP2,leiden,cell_type,is_KC,rut_expression
-1.511579,-3.7557182,50,LC10a/b,0,1.0
-4.6813846,2.1118221,52,61,0,0.0
1.9860567,1.5650306,51,87,0,0.0
-3.8375046,3.3278174,50,179,0,0.0
1.2711573,-7.9245925,52,49,0,1.0
7.0079327,8.513002,57,AST,0,0.0
-0.38798675,-7.513106,52,50,0,0.0
8.337909,-0.9401261,50,90,0,0.0
2.4294348,-5.104373,49,32,0,1.0
-2.0924456,-12.6387205,50,Mi15,0,0.0
2.5042207,11.154397,51,C3,0,1.0
1.5828409,0.3239583,51,97,0,0.0
0.9923428,-1.8027613,51,53,0,1.0
5.1248913,0.8166953,54,Dm3,0,1.0
-1.5692995,-7.822273,49,8,0,0.0
-0.20978004,-4.542278,48,38,0,0.0
-5.458394,-1.8434191,49,42,0,0.0
1.1675655,-2.748016,49,162,0,0.0
1.2304095,-0.6296969,48,Dm12,0,0.0
1.41662,-8.70439,52,49,0,0.0
1.6626257,-6.3947325,52,108,0,3.0
8.842923,3.834549,51,ENS,0,0.0
-1.4934556,-1.8287146,48,89,0,0.0
0.89925313,-5.4803095,49,23,0,1.0
-10.556363,7.735952,49,G-KC,1,0.0
-1.3625808,-3.8003707,48,11,0,1.0
2.964723,-0.28532475,54,125,0,1.0
1.6378667,-13.255433,49,Tm1/TmY8,0,0.0
-0.98168766,-4.530677,48,86,0,1.0
-6.2081676,1.0136691,49,Mi9,0,2.0
1.8446487,-2.7312407,49,101,0,0.0
-3.3143656,-7.0014033,50,14,0,1.0
-4.7889843,1.012399,49,Tm5c,0,0.0
-0.79280597,6.175696,52,C2,0,0.0
-3.6505387,-12.861161,50,PAM,0,0.0
-3.001604,-0.3673225,49,LC10a/b,0,0.0
-3.770798,0.92391026,53,131,0,1.0
8.070222,5.1592665,51,ENS,0,0.0
-1.983472,-2.1060655,48,11,0,1.0
7.6497827,6.746361,57,AST,0,0.0
-1.190122,0.7340456,55,55,0,1.0
4.8465085,0.5540501,54,Dm3,0,0.0
-5.083286,3.3474996,52,61,0,0.0
1.4397534,-4.268052,49,62,0,2.0
-0.9154723,-3.2686687,50,66,0,0.0
9.886131,3.9782774,51,ENS,0,0.0
-4.0827312,-1.1748736,49,LC4,0,0.0
2.420831,1.5354418,51,87,0,0.0
8.990602,3.6161687,51,ENS,0,0.0
-3.3644242,1.9943534,49,188,0,0.0
5.319851,2.6750627,49,Mi1,0,0.0
2.4755628,-9.264007,52,LLPC1,0,0.0
8.38802,-1.4311073,50,90,0,0.0
-2.0667043,-4.396664,48,12,0,1.0
-0.24568203,2.220733,55,55,0,3.0
-0.58790094,-2.791092,48,91,0,1.0
1.2719709,1.7488644,56,57,0,0.0
-0.9063756,-5.777514,50,30,0,0.0
-1.1984571,-6.645738,49,94,0,0.0
0.58928216,-4.995582,49,62,0,0.0
0.73351175,-5.1648088,49,62,0,0.0
-1.0335808,-0.5633605,56,36,0,0.0
5.358705,3.8541434,57,65,0,2.0
-3.1211288,-3.0942912,49,65,0,1.0
6.773062,6.1404314,57,AST,0,0.0
-1.3528746,-8.405544,49,8,0,1.0
2.3101265,1.4827206,51,87,0,1.0
-0.33183548,-10.768373,51,98,0,1.0
-3.0631943,-5.199596,50,18,0,2.0
3.3092513,0.018244354,54,72,0,0.0
8.43309,3.7098234,51,ENS,0,0.0
2.6961646,11.543603,51,C3,0,0.0
9.978809,4.020301,51,ENS,0,0.0
8.962841,3.6700284,51,ENS,0,0.0
-0.4594027,-6.6690965,52,50,0,0.0
-8.1898365,2.1662488,51,Tm3,0,1.0
5.0028105,1.4334311,54,65,0,0.0
3.1891859,0.816704,54,158,0,0.0
5.828633,5.821537,57,AST,0,0.0
1.5050577,-6.981162,52,108,0,2.0
10.021926,4.037334,51,ENS,0,0.0
-2.3883724,-5.40198,50,18,0,0.0
1.7246823,5.8551645,53,T4/T5,0,0.0
5.378213,0.43879026,54,Dm3,0,0.0
-0.8658629,-5.4152107,48,30,0,0.0
6.8064623,6.32509,57,AST,0,0.0
4.778103,0.18004829,54,Dm3,0,0.0
2.093397,-2.6023133,49,114,0,0.0
-0.41206458,-0.6051449,48,27,0,0.0
0.19022071,-6.6423874,52,6,0,0.0
-3.2936296,-5.1197886,50,18,0,2.0
-1.615856,-7.6682134,49,122,0,0.0
-0.8091544,-7.085386,52,50,0,1.0
-2.2214372,-0.18444535,49,109,0,0.0
2.975963,-3.227599,49,119,0,1.0
0.09421818,-8.988955,49,dFB_A,0,0.0
6.1918664,5.260174,57,65,0,0.0
0.9163061,-2.5763159,49,78,0,1.0
-0.670278,-3.1889732,48,38,0,0.0
-2.3045743,-5.4207077,50,66,0,1.0
-0.9987067,6.9111476,52,C2,0,2.0
6.3115764,5.858726,57,AST,0,0.0
-1.537595,-1.3684305,48,79,0,1.0
2.7426755,6.125837,53,T4/T5,0,0.0
-3.4579494,-3.4855454,49,63,0,0.0
-8.277254,-2.8806007,55,186,0,1.0
1.4668628,-8.900464,52,49,0,0.0
8.946092,3.6181645,51,ENS,0,0.0
6.6110487,5.693353,57,AST,0,0.0
-5.3947315,5.2020826,50,Tm9,0,0.0
-3.9649167,-4.4559937,49,35,0,1.0
6.7773614,3.4415944,51,33,0,0.0
5.4752483,4.013446,57,65,0,0.0
